extraction_date,extraction_timestamp,season,fantasy_team_id,fantasy_team_name,fantasy_team_abbrev,team_owner,player_name,player_id_espn,position,eligible_positions,pro_team,currently_rostered,injury_status,acquisition_type,season_avg_pts,season_total_pts,nine_cat_pts,nine_cat_blk,nine_cat_stl,nine_cat_ast,nine_cat_reb,nine_cat_to,nine_cat_3pm,nine_cat_fg%,nine_cat_ft%
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Shai Gilgeous-Alexander,4278073,PG,"PG,G,G/F,UT,BE,IR",OKC,True,DAY_TO_DAY,"D,R,A,F,T",0,0,32.8,0.7,1.4,6.4,4.7,1.7,2.2,0.556,0.881
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Donovan Mitchell,3908809,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",CLE,True,ACTIVE,"D,R,A,F,T",0,0,30.5,0.3,1.4,5.5,4.8,3.4,4.0,0.502,0.836
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Paolo Banchero,4432573,PF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",ORL,True,ACTIVE,"D,R,A,F,T",0,0,20.4,0.8,0.6,3.8,7.9,2.4,1.1,0.452,0.773
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Jalen Duren,4433621,C,"C,PF/C,F/C,UT,BE,IR",DET,True,ACTIVE,"D,R,A,F,T",0,0,18.8,1.0,0.8,1.8,11.5,2.6,0.0,0.655,0.754
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Darius Garland,4396907,PG,"PG,G,G/F,UT,BE,IR",CLE,True,ACTIVE,"D,R,A,F,T",0,0,14.0,0.1,0.7,6.2,3.0,2.8,1.9,0.353,0.871
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Anfernee Simons,4351851,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",BOS,True,ACTIVE,"D,R,A,F,T",0,0,13.4,0.2,0.5,2.5,2.2,1.1,2.5,0.44,0.872
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Donovan Clingan,5105565,C,"C,PF/C,F/C,UT,BE,IR",POR,True,OUT,"D,R,A,F,T",0,0,10.0,1.4,0.6,1.7,10.2,0.8,0.7,0.482,0.81
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Kel'el Ware,5105623,C,"C,PF/C,F/C,UT,BE,IR",MIA,True,ACTIVE,"D,R,A,F,T",0,0,11.6,1.3,1.0,0.6,10.3,1.1,1.0,0.535,0.809
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Quentin Grimes,4397014,SG,"SG,G,SG/SF,G/F,UT,BE,IR",PHL,True,ACTIVE,"D,R,A,F,T",0,0,16.5,0.4,0.9,4.4,4.0,2.7,2.4,0.452,0.857
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Cameron Johnson,3138196,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",DEN,True,ACTIVE,"A,D,D",0,0,11.1,0.3,0.7,2.3,3.4,1.1,1.8,0.452,0.8
2025-12-09,2025-12-09T09:20:43.733939,2026,5,Jay Stat,FEZ,,Tobias Harris,6440,PF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",DET,True,DAY_TO_DAY,"A,D,D",0,0,14.7,0.3,0.4,2.4,5.1,1.1,1.8,0.453,0.833
