sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,10,0,1,A,213,457,87,110,82,192,595,209,136,43,16,70,0,201,442,95,121,70,195,567,174,131,33,11,72,0
1,6,5,0,A,215,465,83,106,77,195,590,221,133,49,19,68,2,219,451,101,126,79,201,618,172,128,35,12,62,0
2,7,4,0,A,219,462,86,106,71,194,595,214,140,48,18,74,1,203,444,101,125,83,203,590,180,132,34,14,61,3
3,8,3,0,A,224,467,83,107,74,195,605,216,136,46,19,68,0,207,440,100,119,61,200,575,169,125,32,11,64,2
4,5,5,1,TIE,207,468,93,112,71,196,578,215,138,43,17,73,1,215,439,101,125,78,201,609,177,130,32,13,64,1
5,8,3,0,A,235,467,84,106,79,195,633,211,140,47,19,72,0,186,436,106,124,57,193,535,178,129,33,11,69,2
6,9,1,1,A,226,461,84,104,68,191,604,214,133,45,16,68,0,187,439,99,124,68,197,541,173,129,35,10,70,2
7,8,3,0,A,218,464,83,109,73,192,592,216,131,48,18,71,0,199,434,94,113,63,195,555,179,130,36,14,69,1
8,7,4,0,A,218,468,77,103,75,195,588,215,134,47,18,69,1,194,452,101,128,69,199,558,176,136,34,12,64,3
9,9,2,0,A,209,459,83,111,72,191,573,212,137,42,17,73,0,194,445,89,123,60,200,537,175,131,32,15,65,3
10,7,4,0,A,207,466,84,109,72,195,570,211,135,45,19,72,0,199,447,96,119,61,200,555,179,126,32,14,68,2
11,9,0,2,A,232,456,90,111,81,193,635,215,136,43,19,70,1,194,441,99,127,65,198,552,171,133,33,13,70,1
12,3,8,0,B,192,465,87,112,58,193,529,215,136,43,18,70,0,196,449,100,125,72,201,564,175,138,31,13,65,3
13,7,4,0,A,226,454,85,106,72,191,609,217,134,49,16,67,0,204,442,93,125,75,200,576,176,137,33,11,66,2
14,7,4,0,A,218,463,71,102,66,192,573,214,138,44,20,73,1,196,437,96,120,77,199,565,178,133,35,14,61,0
15,7,4,0,A,225,465,81,104,77,198,608,218,130,46,18,75,0,204,441,99,115,68,196,575,177,138,33,12,65,1
16,9,1,1,A,212,458,94,113,67,191,585,221,137,46,17,71,0,186,442,92,122,55,198,519,177,129,32,14,65,0
17,6,4,1,A,213,465,82,111,73,194,581,220,137,46,19,73,0,211,444,97,124,69,199,588,174,135,36,11,65,0
18,4,7,0,B,210,463,81,108,68,195,569,219,139,43,22,72,0,207,446,98,120,81,199,593,172,135,35,13,65,2
19,9,2,0,A,224,462,88,110,75,193,611,217,132,45,20,75,0,191,445,95,122,63,202,540,172,128,33,14,63,2
20,9,2,0,A,231,466,84,102,76,198,622,213,137,47,20,73,1,213,440,96,125,71,197,593,178,134,33,13,69,3
21,6,3,2,A,241,457,91,108,78,190,651,215,136,42,17,73,0,212,444,111,124,78,199,613,175,136,33,10,68,1
22,9,2,0,A,225,458,84,105,75,193,609,212,139,47,20,70,0,211,453,94,119,72,204,588,175,135,35,12,66,2
23,9,1,1,A,236,465,94,111,80,196,646,214,133,47,18,71,0,220,450,101,125,69,198,610,172,132,32,11,71,1
24,9,2,0,A,218,457,90,109,81,193,607,216,133,44,18,75,1,198,442,89,118,71,202,556,179,129,29,11,64,2
25,7,3,1,A,222,464,80,107,80,192,604,215,134,46,19,71,0,198,435,101,122,66,190,563,179,134,34,12,66,1
26,9,2,0,A,203,466,87,109,74,196,567,216,133,43,17,71,1,195,448,93,123,66,203,549,176,131,33,18,66,0
27,8,3,0,A,227,459,87,116,73,192,614,222,137,47,17,71,0,196,438,108,127,72,196,572,178,128,32,12,67,2
28,4,7,0,B,211,465,91,109,68,194,581,212,130,48,20,72,1,207,443,101,128,72,197,587,175,134,33,13,68,3
29,5,5,1,TIE,220,467,84,108,63,194,587,219,132,53,18,72,1,215,447,99,122,63,200,592,172,129,32,10,64,2
30,7,3,1,A,216,467,88,110,63,196,583,217,133,45,20,68,0,197,445,99,130,65,197,558,179,132,33,12,64,0
31,5,4,2,A,203,464,89,110,67,196,562,213,135,45,19,73,0,206,440,95,120,67,196,574,176,134,34,14,71,2
32,10,1,0,A,222,456,87,106,68,192,599,216,136,43,19,74,1,182,441,95,121,56,200,515,172,131,34,13,68,0
33,5,6,0,B,206,466,85,115,75,194,572,214,140,47,13,70,1,211,449,94,116,70,201,586,176,126,33,14,67,2
34,6,5,0,A,205,459,80,106,76,194,566,216,131,45,19,73,0,206,438,93,115,65,196,570,175,129,35,15,65,3
35,7,4,0,A,227,470,89,108,62,193,605,212,134,46,17,71,0,194,432,92,123,72,190,552,181,132,34,14,67,1
36,8,3,0,A,218,463,91,112,77,194,604,209,135,46,19,70,0,201,442,100,119,67,198,569,178,126,35,11,68,1
37,7,4,0,A,227,465,94,109,71,192,619,218,133,44,20,72,1,209,447,99,124,74,198,591,177,134,33,13,64,0
38,3,7,1,B,213,467,82,111,74,195,582,216,141,43,15,70,0,228,439,99,125,84,197,639,176,129,33,15,65,2
39,6,5,0,A,214,459,85,109,71,193,584,216,135,44,19,68,0,206,447,105,128,73,201,590,172,127,31,13,65,2
40,9,2,0,A,234,471,90,110,83,198,641,214,137,44,18,70,1,192,440,100,129,66,196,550,177,132,33,16,69,2
41,8,2,1,A,219,461,95,113,78,193,611,216,135,45,16,72,1,204,444,106,124,68,201,582,181,130,35,11,68,1
42,5,6,0,B,205,465,86,112,65,195,561,219,130,41,19,70,3,214,441,90,113,70,198,588,181,129,34,15,69,1
43,8,2,1,A,216,456,82,111,72,192,586,218,133,49,20,70,0,181,443,107,122,58,198,527,177,133,36,15,72,1
44,8,3,0,A,238,468,80,112,87,197,643,213,140,42,19,69,0,209,450,104,126,82,201,604,168,128,33,10,64,1
45,8,3,0,A,221,465,91,113,64,194,597,217,136,42,19,72,0,200,443,93,120,65,199,558,171,133,31,14,65,2
46,8,3,0,A,240,464,88,113,75,196,643,214,140,47,20,68,0,211,443,87,116,81,199,590,173,135,35,11,70,1
47,8,2,1,A,230,462,83,109,81,192,624,215,142,44,18,71,1,213,439,97,123,69,194,592,175,137,32,10,67,1
48,5,5,1,TIE,216,464,78,107,73,194,583,219,133,43,20,72,0,213,447,107,124,74,204,607,177,130,32,10,64,0
49,8,3,0,A,224,457,80,110,83,192,611,218,136,45,19,73,0,206,444,101,121,72,195,585,172,131,31,13,62,1
50,8,3,0,A,227,460,86,111,79,192,619,218,140,48,18,70,0,221,450,98,120,77,201,617,177,130,35,15,65,2
51,6,5,0,A,211,460,84,110,73,194,579,216,137,46,17,68,0,205,445,103,125,70,199,583,176,133,33,12,66,3
52,8,3,0,A,216,455,93,113,74,190,599,217,138,46,17,74,0,193,446,107,121,72,201,565,175,134,32,15,64,1
53,4,7,0,B,209,462,85,110,66,194,569,218,135,45,17,66,0,219,446,98,118,79,201,615,174,131,34,11,64,1
