sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,3,7,1,B,35,67,16,25,5,22,91,31,24,5,2,15,0,41,76,16,20,10,30,108,16,23,6,0,13,0
1,3,5,3,B,27,64,16,22,6,21,76,32,26,6,3,13,0,44,78,17,21,15,31,120,16,25,6,0,13,0
2,6,5,0,A,35,64,19,24,9,21,98,30,27,6,2,16,1,38,77,16,19,17,30,109,17,24,5,0,13,0
3,4,5,2,B,34,62,14,23,5,20,87,31,26,6,2,14,0,38,81,19,21,11,33,106,17,23,6,0,12,0
4,3,6,2,B,25,63,17,23,4,22,71,29,26,6,3,16,0,32,76,16,20,9,30,89,15,24,6,0,13,0
5,4,5,2,B,25,59,18,24,12,20,80,32,25,6,2,15,0,38,78,16,21,13,30,105,17,22,6,0,13,0
6,4,6,1,B,30,65,16,23,3,21,79,33,25,7,1,16,0,43,76,18,22,16,31,120,16,23,5,0,13,0
7,5,3,3,A,27,64,19,23,5,20,78,31,27,6,2,15,0,30,79,14,21,8,32,82,17,23,6,0,12,0
8,4,5,2,B,27,63,17,25,8,20,79,30,25,6,4,14,0,35,78,19,20,10,32,99,16,21,6,0,12,0
9,4,4,3,TIE,34,66,18,25,8,22,94,28,21,6,1,14,0,36,76,22,23,8,31,102,16,22,6,0,12,0
10,4,6,1,B,25,63,17,23,6,21,73,30,26,8,2,16,0,34,73,17,22,11,29,96,17,22,6,0,13,0
11,4,5,2,B,33,63,13,20,7,22,86,30,25,6,2,14,0,37,77,19,23,14,31,107,18,21,6,0,13,0
12,2,6,3,B,26,66,16,24,7,22,75,33,23,6,2,15,0,35,76,19,21,13,29,102,16,23,6,0,12,0
13,4,6,1,B,22,63,21,26,3,21,68,29,24,7,2,15,0,32,75,12,17,11,30,87,17,25,5,0,13,0
14,4,6,1,B,28,65,18,23,6,21,80,32,24,8,2,15,0,38,78,17,21,11,31,104,17,22,5,0,13,0
15,4,6,1,B,25,63,20,25,4,22,74,29,26,6,2,15,0,37,78,16,18,9,32,99,17,23,5,0,12,0
16,4,5,2,B,34,64,13,22,6,21,87,30,25,6,3,14,0,37,80,17,20,12,33,103,17,21,6,0,12,0
17,3,6,2,B,24,65,21,25,5,21,74,32,24,6,2,15,0,33,75,16,19,13,29,95,17,23,6,0,12,0
18,4,4,3,TIE,22,62,23,24,4,21,71,29,24,6,2,14,0,36,79,18,23,8,31,98,17,23,6,0,14,0
19,4,5,2,B,31,66,22,22,5,21,89,33,23,6,1,15,0,41,74,19,21,14,30,115,17,22,6,0,12,0
20,5,5,1,TIE,33,65,14,23,5,21,85,31,25,6,2,13,0,34,76,19,20,11,30,98,17,21,5,0,12,0
21,6,5,0,A,30,60,18,24,7,21,85,30,27,6,2,14,1,34,78,18,22,11,30,97,16,24,5,0,12,0
22,4,6,1,B,31,63,16,23,4,20,82,32,23,6,3,14,0,40,79,15,19,11,32,106,16,22,5,0,12,0
23,5,3,3,A,28,64,18,23,11,22,85,31,25,6,1,15,0,31,76,19,22,11,30,92,17,22,6,0,11,0
24,7,3,1,A,30,65,16,22,6,21,82,30,27,7,3,14,0,27,72,14,20,11,29,79,16,23,5,0,13,0
25,3,6,2,B,29,62,17,24,5,21,80,33,24,6,2,15,0,38,77,21,22,11,31,108,16,22,6,0,13,0
26,5,5,1,TIE,25,60,18,23,5,20,73,31,26,7,2,15,0,38,79,13,19,12,30,101,17,22,5,0,13,0
27,4,5,2,B,36,68,17,24,9,23,98,27,26,6,2,15,0,36,76,15,21,13,30,100,16,24,6,0,12,0
28,4,5,2,B,21,61,20,24,5,21,67,33,25,6,2,16,0,43,71,17,21,16,28,119,16,23,6,0,12,0
29,5,5,1,TIE,22,66,20,23,7,22,71,32,27,5,2,13,0,30,77,13,20,9,30,82,15,23,6,0,12,0
30,4,6,1,B,27,62,16,23,7,21,77,31,27,6,2,16,0,35,76,19,20,12,31,101,16,24,5,0,13,0
31,5,4,2,A,28,65,18,23,5,21,79,30,24,6,2,15,0,28,76,18,21,6,30,80,16,22,6,0,12,0
32,7,1,3,A,31,63,16,26,12,21,90,33,25,6,2,12,0,30,79,15,19,12,32,87,17,22,5,0,12,0
33,5,4,2,A,29,64,20,23,7,22,85,31,25,7,2,14,0,34,77,18,22,11,31,97,19,25,6,0,12,0
34,5,5,1,TIE,27,64,21,24,5,22,80,31,26,6,3,14,0,41,77,17,20,16,31,115,17,23,5,0,13,0
35,6,4,1,A,34,64,19,26,8,21,95,31,26,6,2,16,0,39,78,16,19,11,31,105,17,21,5,0,12,0
36,8,2,1,A,34,61,19,24,9,20,96,29,27,7,2,14,0,29,76,17,21,7,31,82,16,23,6,0,13,0
37,7,3,1,A,33,63,16,25,10,21,92,31,25,5,2,15,0,38,77,9,18,8,30,93,16,24,6,0,14,0
38,3,7,1,B,28,64,12,24,6,22,74,29,25,6,2,14,0,33,73,19,20,9,28,94,17,23,7,0,13,0
39,9,1,1,A,34,64,17,25,10,22,95,29,26,7,2,12,0,31,79,18,22,9,32,89,17,22,6,0,13,0
40,5,4,2,A,25,64,15,20,7,20,72,30,29,7,2,14,0,30,78,19,19,8,32,87,16,23,7,0,12,0
41,5,4,2,A,32,60,18,23,9,20,91,32,28,6,2,15,0,35,79,21,22,10,32,101,16,21,6,0,14,0
42,4,6,1,B,23,62,14,23,5,21,65,30,25,6,3,15,0,32,79,18,22,9,31,91,17,24,5,0,12,0
43,8,1,2,A,36,62,20,27,7,21,99,30,25,6,2,15,0,28,78,12,17,6,31,74,18,23,6,0,13,0
44,5,3,3,A,25,60,19,23,8,20,77,32,25,7,2,16,0,29,74,13,21,9,29,80,17,25,7,0,12,0
45,6,4,1,A,34,66,19,25,4,21,91,34,26,7,2,14,0,27,78,21,22,10,31,85,19,21,5,1,12,0
46,6,4,1,A,30,65,18,24,9,22,87,30,25,7,1,15,0,34,80,17,20,12,32,97,17,24,6,0,13,0
47,6,4,1,A,31,63,18,26,8,21,88,29,22,7,3,15,0,37,78,14,21,12,32,100,16,24,5,0,13,0
48,5,3,3,A,34,64,18,24,9,21,95,29,24,7,2,12,0,41,78,16,22,14,31,112,16,24,6,0,12,0
49,5,5,1,TIE,26,61,14,25,6,20,72,30,27,6,2,14,0,32,78,17,21,14,31,95,16,23,5,0,12,0
50,6,4,1,A,29,62,18,23,4,20,80,31,25,6,2,14,0,34,77,17,22,13,31,98,16,22,5,0,12,0
51,5,4,2,A,30,60,20,26,5,20,85,32,27,5,2,15,0,38,77,17,23,12,30,105,16,23,5,0,12,0
52,4,5,2,B,28,63,15,22,9,21,80,28,24,6,3,15,0,37,76,16,19,10,31,100,17,22,6,0,12,0
53,8,2,1,A,36,64,14,23,10,22,96,30,29,7,2,16,0,28,74,20,22,9,29,85,17,25,6,0,12,0
54,4,6,1,B,24,62,16,22,3,20,67,31,25,7,2,15,0,41,77,17,22,13,31,112,17,24,5,0,12,0
55,5,4,2,A,24,64,19,26,8,22,75,32,26,6,3,15,0,30,77,17,21,5,30,82,16,22,6,1,12,0
56,3,5,3,B,26,60,17,25,7,20,76,29,24,6,2,14,0,40,77,18,22,10,30,108,17,24,6,0,12,0
57,2,7,2,B,26,63,12,24,5,20,69,29,23,5,2,13,0,39,74,18,22,14,30,110,17,23,7,0,12,0
58,4,5,2,B,24,60,17,24,6,20,71,31,23,8,3,13,0,37,78,21,24,13,30,108,15,23,5,0,15,0
