sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,6,5,0,A,249,523,113,138,80,202,691,195,151,36,23,77,4,247,475,83,103,57,156,634,231,128,44,16,68,5
1,6,5,0,A,234,517,115,140,69,200,652,202,149,36,21,73,4,233,469,81,102,50,153,597,236,134,45,18,64,8
2,5,6,0,B,252,501,115,138,73,194,692,189,149,37,22,73,4,248,473,82,102,64,151,642,231,129,45,16,68,6
3,5,6,0,B,257,502,115,141,80,197,709,196,152,37,21,73,4,247,477,83,101,60,154,637,239,122,45,18,67,7
4,6,5,0,A,233,514,117,140,70,198,653,203,150,41,21,77,4,228,473,81,102,53,152,590,233,128,48,19,69,7
5,6,5,0,A,242,511,116,137,75,200,675,197,152,38,22,70,5,239,474,84,101,56,155,618,234,130,49,15,66,6
6,5,6,0,B,241,513,106,139,66,201,654,195,148,35,22,72,4,226,473,86,103,51,156,589,229,128,43,17,65,7
7,6,5,0,A,227,521,121,144,63,201,638,198,151,37,21,75,4,218,469,88,112,45,149,569,238,133,44,17,67,7
8,6,4,1,A,262,517,123,143,80,202,727,198,141,34,23,74,5,246,470,89,105,60,154,641,231,128,45,17,70,5
9,4,7,0,B,237,512,114,136,67,200,655,191,151,35,26,78,4,253,467,87,103,60,152,653,231,131,45,15,65,6
10,6,5,0,A,255,512,115,139,74,202,699,193,151,37,21,72,4,233,473,87,106,59,156,612,235,130,45,16,66,7
11,6,4,1,A,247,517,117,141,69,203,680,192,144,39,22,79,4,220,466,89,107,50,151,579,225,132,41,16,70,4
12,7,4,0,A,247,511,107,131,72,198,673,200,154,36,20,70,4,225,466,82,102,51,154,583,230,135,45,17,66,7
13,4,7,0,B,225,508,105,131,71,203,626,201,149,35,19,73,4,221,465,86,103,53,149,581,229,129,44,15,68,7
14,4,7,0,B,226,511,114,134,63,198,629,195,144,36,23,76,4,246,480,84,103,55,157,631,235,128,40,14,69,6
15,5,6,0,B,231,509,121,143,59,195,642,194,152,36,25,76,4,231,476,83,103,58,157,603,227,132,46,15,70,6
16,7,4,0,A,256,518,116,141,80,200,708,196,152,34,23,72,4,230,467,79,105,57,152,596,224,136,46,15,68,7
17,7,4,0,A,245,521,117,142,75,202,682,197,148,36,23,73,4,218,468,77,105,50,154,563,231,124,44,14,70,7
18,5,6,0,B,278,515,110,136,76,198,742,194,157,38,24,74,4,234,467,90,104,60,149,618,231,129,48,18,67,7
19,5,5,1,TIE,244,518,118,140,76,203,682,198,152,36,23,72,4,231,465,87,107,63,151,612,236,132,48,17,67,4
20,6,5,0,A,267,520,115,141,90,201,739,194,152,35,22,72,5,231,470,85,103,57,153,604,232,130,44,14,68,6
21,2,7,2,B,222,510,105,138,58,202,607,201,147,33,24,73,4,237,469,87,109,58,155,619,232,130,45,16,68,4
22,6,5,0,A,256,509,115,135,82,199,709,204,150,32,22,76,4,229,485,90,103,65,159,613,226,127,44,14,67,5
23,6,5,0,A,244,513,122,136,73,200,683,196,148,35,21,72,4,230,473,80,100,53,156,593,242,129,45,19,67,5
24,6,5,0,A,265,520,123,140,83,202,736,200,147,36,22,73,4,245,470,88,107,63,154,641,228,133,45,19,68,6
25,5,6,0,B,247,508,115,144,67,195,676,194,148,35,22,80,4,230,471,80,101,58,158,598,240,132,46,17,67,6
26,6,5,0,A,230,508,112,138,76,196,648,194,146,34,22,81,4,228,469,84,106,53,155,593,232,135,43,12,67,5
27,6,5,0,A,249,512,124,141,75,200,697,200,154,40,23,72,4,233,473,88,112,55,155,609,237,132,50,14,65,6
28,6,5,0,A,258,512,111,132,85,198,712,203,151,40,23,74,5,242,474,86,109,60,154,630,233,130,46,16,69,7
29,5,6,0,B,227,505,114,136,66,199,634,194,149,36,24,75,4,235,470,84,102,56,154,610,233,128,45,16,68,7
30,5,6,0,B,236,508,109,136,80,199,661,191,147,41,22,70,4,234,475,85,104,55,154,608,226,133,44,16,64,8
31,6,5,0,A,252,525,126,148,78,202,708,194,153,39,22,73,4,232,475,84,107,55,155,603,225,128,45,18,66,7
32,6,5,0,A,246,513,120,142,68,198,680,200,152,40,19,76,4,202,460,93,110,41,149,538,237,129,46,12,68,6
33,6,5,0,A,250,516,114,138,74,202,688,195,149,36,23,77,4,247,470,83,109,52,156,629,230,129,46,16,65,6
34,4,7,0,B,231,510,112,139,66,196,640,202,153,36,23,73,4,244,470,85,104,54,152,627,227,132,45,17,65,7
35,5,6,0,B,226,518,118,141,65,203,635,198,151,39,23,76,4,227,473,86,107,55,152,595,231,129,42,18,67,6
36,5,6,0,B,233,513,110,134,71,200,647,198,154,39,22,73,4,210,462,83,100,47,149,550,237,130,47,12,67,6
37,5,6,0,B,242,523,108,136,83,203,675,191,154,38,20,72,4,226,465,86,99,60,151,598,234,130,43,18,67,7
38,5,6,0,B,254,521,107,131,82,205,697,196,152,37,22,73,4,240,476,88,107,50,153,618,234,128,42,16,69,6
