sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,5,6,0,B,193,383,93,121,50,130,529,210,94,28,22,72,7,205,427,100,126,57,163,567,181,96,32,14,59,1
1,5,6,0,B,193,384,89,118,55,130,530,205,94,27,22,72,3,208,423,103,129,62,160,581,183,99,29,18,58,2
2,5,6,0,B,174,382,86,111,48,127,482,205,97,27,22,70,1,189,416,103,125,59,161,540,183,96,32,17,56,3
3,4,7,0,B,191,380,91,117,41,126,514,202,95,26,23,72,5,207,418,109,128,75,158,598,181,103,34,18,60,1
4,6,4,1,A,212,383,91,116,48,125,563,207,90,27,20,68,3,181,427,100,131,51,159,513,184,94,33,18,59,3
5,6,5,0,A,185,387,89,111,49,133,508,208,97,30,20,71,5,188,435,101,123,47,165,524,184,98,32,16,57,2
6,5,6,0,B,192,387,87,112,56,128,527,211,91,27,19,67,4,207,435,110,131,70,163,594,182,104,32,14,54,1
7,5,5,1,TIE,174,376,98,116,47,126,493,204,94,30,23,70,4,202,425,105,126,57,160,566,167,99,30,16,60,0
8,3,7,1,B,194,392,90,115,55,132,533,202,93,30,23,69,1,210,424,100,124,62,159,582,170,103,31,13,56,1
9,6,5,0,A,179,382,90,112,43,127,491,204,95,28,22,69,4,197,434,100,126,52,163,546,173,101,31,15,60,1
10,5,6,0,B,198,380,88,118,48,126,532,210,91,27,24,72,3,201,421,98,124,57,161,557,178,101,30,16,59,1
11,4,7,0,B,190,385,88,121,48,125,516,208,90,27,22,68,1,213,427,105,125,59,164,590,181,101,30,16,54,0
12,5,4,2,A,173,379,95,121,43,126,484,204,96,28,22,71,2,190,432,98,127,44,163,522,178,96,33,19,58,2
13,6,5,0,A,189,380,94,116,53,124,525,209,91,28,20,66,4,206,427,94,129,58,161,564,173,99,30,16,59,2
14,4,7,0,B,166,381,93,115,33,129,458,206,93,29,22,69,1,192,417,105,132,58,159,547,178,104,34,17,55,0
15,5,6,0,B,186,382,91,117,43,127,506,199,92,27,19,67,3,182,431,100,118,50,164,514,188,99,30,16,52,0
16,5,6,0,B,184,386,92,118,40,127,500,203,91,29,22,70,5,205,432,99,128,60,162,569,174,99,35,17,60,2
17,2,8,1,B,176,384,93,116,47,128,492,205,91,27,20,68,1,199,419,100,126,59,157,557,174,96,34,21,54,1
18,7,4,0,A,176,380,84,103,45,128,481,207,88,29,20,70,3,196,425,94,124,55,161,541,171,99,27,15,57,1
19,5,5,1,TIE,190,381,84,118,54,126,518,204,92,28,19,68,4,196,426,100,131,54,160,546,179,95,31,15,55,0
20,6,5,0,A,192,376,86,112,51,125,521,204,95,27,20,69,3,215,425,92,120,60,160,582,178,105,34,17,53,2
21,2,8,1,B,182,385,98,118,45,129,507,211,91,28,22,70,1,215,425,103,124,65,161,598,185,101,31,15,59,1
22,5,6,0,B,182,379,88,115,45,127,497,209,91,29,21,65,2,200,417,97,129,53,158,550,181,100,33,17,57,4
23,6,5,0,A,204,377,103,121,55,125,566,202,89,29,20,68,2,207,425,94,125,68,161,576,182,99,33,14,52,1
24,2,8,1,B,162,373,96,123,38,122,458,205,95,28,22,67,2,218,430,95,121,58,158,589,179,96,30,16,53,2
25,4,6,1,B,187,381,99,120,54,127,527,205,88,27,21,70,3,212,429,102,130,61,161,587,177,94,34,16,50,3
26,4,6,1,B,182,374,87,116,47,123,498,202,93,28,22,64,1,181,419,100,125,57,162,519,173,98,29,21,54,1
27,8,3,0,A,200,387,101,122,55,130,556,209,92,29,23,66,5,181,412,100,123,53,158,515,178,98,31,17,53,2
28,4,5,2,B,190,381,91,113,48,127,519,204,96,27,21,67,2,211,425,93,120,60,158,575,177,98,27,16,56,2
29,4,6,1,B,184,381,93,120,41,128,502,207,92,28,21,68,2,209,433,109,123,73,165,600,170,97,28,18,55,1
30,6,5,0,A,209,378,98,121,56,125,572,203,87,28,23,66,5,208,427,97,125,67,162,580,178,99,32,17,52,0
31,5,6,0,B,200,383,96,118,54,127,550,202,94,28,20,69,2,196,417,106,129,63,157,561,177,100,32,16,56,0
32,4,7,0,B,192,387,93,122,44,128,521,205,92,28,22,66,3,216,428,87,119,72,164,591,183,95,31,17,53,2
33,3,7,1,B,182,376,87,121,53,126,504,201,92,29,21,69,1,221,437,99,125,54,161,595,172,94,31,15,55,1
34,5,6,0,B,195,388,92,115,45,129,527,202,92,27,19,73,6,205,419,87,122,61,157,558,177,97,31,16,53,0
35,5,6,0,B,191,381,86,116,48,125,516,203,93,26,22,70,5,186,424,95,124,56,161,523,180,100,29,17,53,2
36,5,6,0,B,182,375,89,111,48,125,501,202,91,28,21,70,4,195,418,105,122,50,160,545,177,93,32,16,58,1
37,5,6,0,B,196,388,92,113,51,129,535,208,94,25,21,69,3,224,436,98,122,63,161,609,177,101,33,14,57,1
38,3,8,0,B,182,373,89,112,45,127,498,200,90,27,21,68,1,205,428,102,121,64,162,576,185,96,33,15,55,2
39,7,4,0,A,195,381,91,114,52,127,533,208,92,30,22,70,1,194,432,93,122,54,163,535,172,96,28,14,56,0
40,6,5,0,A,203,384,86,114,52,129,544,205,93,27,23,67,3,214,426,107,130,55,161,590,174,103,26,14,55,1
41,4,6,1,B,173,387,97,120,43,129,486,205,94,28,22,67,1,192,412,99,124,51,155,534,180,99,31,13,59,1
42,5,6,0,B,200,385,86,112,51,128,537,206,92,29,21,72,2,193,434,107,130,53,164,546,175,100,31,19,58,0
43,4,7,0,B,186,380,87,113,47,124,506,204,95,25,20,70,2,180,423,95,121,61,156,516,176,100,33,14,57,1
44,5,6,0,B,185,381,78,111,48,125,496,207,91,31,20,70,3,186,427,104,126,56,163,532,169,96,33,15,58,2
45,4,5,2,B,180,381,95,121,45,126,500,204,94,29,21,67,3,180,433,98,123,45,162,503,184,102,32,17,57,3
46,4,7,0,B,185,377,84,111,46,125,500,206,89,27,19,70,1,207,432,104,130,57,165,575,187,102,30,17,57,2
47,7,4,0,A,194,380,89,117,50,127,527,200,91,28,24,69,1,175,416,92,122,54,158,496,175,98,33,16,51,0
48,3,7,1,B,184,385,100,119,47,127,515,204,91,25,21,71,3,210,428,102,125,64,162,586,182,103,30,16,56,3
49,4,6,1,B,190,383,87,117,52,127,519,199,95,27,23,69,1,182,421,100,127,62,160,526,181,101,31,14,58,1
50,4,7,0,B,175,379,97,123,41,127,488,204,95,28,19,68,2,193,427,103,125,55,162,544,173,99,31,15,55,0
51,4,6,1,B,190,382,88,112,50,126,518,204,92,29,18,65,2,196,422,101,124,53,160,546,181,102,34,16,56,2
52,7,4,0,A,195,386,96,118,45,125,531,201,90,30,22,70,2,189,438,104,128,48,164,530,174,97,32,14,56,0
53,2,8,1,B,179,383,89,117,49,127,496,203,94,29,21,68,1,220,423,106,136,80,161,626,187,100,32,14,57,1
54,4,6,1,B,182,372,92,116,49,125,505,205,91,29,22,65,1,196,423,103,123,60,161,555,183,93,30,17,56,1
55,5,6,0,B,195,385,95,121,53,126,538,203,87,26,21,69,1,207,433,96,126,57,164,567,174,100,28,15,53,2
56,4,7,0,B,167,377,89,118,48,125,471,202,94,26,22,70,2,213,432,103,124,57,164,586,178,98,33,14,53,0
57,5,6,0,B,182,388,95,118,51,126,510,206,96,27,23,69,3,185,426,97,120,59,161,526,176,103,33,17,55,0
58,5,5,1,TIE,190,381,86,114,55,131,521,202,97,28,21,67,1,189,427,108,126,55,159,541,176,95,33,13,55,3
59,4,7,0,B,162,379,98,123,32,126,454,207,90,31,20,68,1,198,420,104,131,53,163,553,175,100,35,17,56,0
60,4,7,0,B,183,386,90,119,39,129,495,212,92,31,21,70,3,207,424,99,122,66,162,579,175,96,28,15,58,2
61,5,6,0,B,183,384,83,113,49,127,498,206,93,28,20,68,4,200,424,100,121,56,161,556,178,100,31,16,54,3
62,6,4,1,A,184,380,91,117,50,128,509,199,89,28,20,71,1,178,417,99,127,50,160,505,176,97,31,17,55,0
63,7,4,0,A,197,379,99,117,49,125,542,204,89,28,22,65,4,201,424,107,127,50,159,559,171,96,25,17,51,3
64,4,6,1,B,197,377,83,111,49,127,526,207,93,26,19,66,2,204,422,104,125,62,163,574,188,101,33,17,56,2
65,4,7,0,B,197,380,86,114,47,128,527,206,91,25,21,72,3,205,428,113,135,69,160,592,178,98,30,16,54,2
66,6,3,2,A,207,382,91,112,48,128,553,207,86,30,23,68,6,203,423,92,121,55,163,553,176,95,30,15,56,1
67,5,6,0,B,185,376,88,117,39,126,497,200,95,27,22,71,4,214,435,105,128,60,167,593,176,94,31,13,56,1
68,5,6,0,B,209,377,96,120,46,125,560,208,90,29,19,66,3,201,426,99,127,61,161,562,176,100,33,17,54,0
69,4,7,0,B,178,382,96,115,44,127,496,206,93,27,19,66,1,209,431,100,124,62,161,580,180,99,31,18,59,0
70,5,6,0,B,180,385,89,116,49,124,498,203,93,27,21,67,3,181,415,103,122,57,159,522,181,95,31,16,52,0
71,8,3,0,A,195,378,93,115,51,126,534,203,88,27,19,65,1,190,426,102,128,50,161,532,172,97,30,16,57,0
72,4,7,0,B,168,378,88,115,44,126,468,200,95,28,21,68,3,201,423,101,125,53,163,556,180,98,32,15,56,1
73,2,8,1,B,174,375,85,116,50,119,483,206,93,28,18,68,0,207,421,96,126,50,158,560,177,97,29,19,57,2
74,3,8,0,B,185,382,89,121,50,129,509,208,100,27,19,71,0,205,421,99,125,52,160,561,188,98,33,20,53,1
75,4,6,1,B,203,381,86,116,48,125,540,208,94,25,19,69,3,200,424,99,124,60,160,559,180,98,31,15,57,3
