sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,9,0,2,A,28,62,19,25,9,25,84,32,15,4,4,7,0,21,50,9,15,3,15,54,21,12,3,1,7,0
1,8,2,1,A,25,58,20,22,7,24,77,32,15,6,3,7,0,23,46,13,16,3,13,62,20,14,4,1,6,0
2,8,2,1,A,26,61,19,24,8,24,79,32,16,5,3,8,1,18,47,13,15,4,14,53,22,14,3,1,6,1
3,5,2,4,A,31,58,19,23,7,22,88,30,14,4,4,7,0,28,46,13,16,7,13,76,19,12,4,1,7,0
4,8,2,1,A,26,58,16,20,8,23,76,29,14,5,4,8,0,21,44,7,12,4,12,53,22,13,4,1,5,0
5,9,0,2,A,31,62,19,22,12,26,93,31,15,4,3,7,1,21,45,13,17,4,13,59,21,14,4,1,7,0
6,8,3,0,A,26,61,18,22,8,25,78,31,17,5,3,7,1,20,46,9,13,5,13,54,20,11,4,2,6,0
7,6,5,0,A,29,60,14,19,8,24,80,31,14,6,3,8,0,23,45,13,14,5,13,64,21,11,4,1,5,1
8,6,4,1,A,27,61,22,24,10,26,86,30,15,5,3,8,0,24,47,12,15,6,14,66,20,15,4,1,4,1
9,7,4,0,A,32,60,20,23,7,25,91,29,12,6,3,7,0,24,48,10,15,4,14,62,23,15,4,1,6,1
10,7,1,3,A,24,61,21,22,8,24,77,30,14,5,4,7,0,18,48,14,17,5,14,55,22,14,4,1,7,0
11,8,3,0,A,29,61,21,24,7,24,86,28,14,6,4,7,0,27,48,11,16,3,14,68,21,12,4,1,6,1
12,7,3,1,A,31,61,16,21,10,25,88,31,13,4,4,7,0,17,48,9,14,3,14,46,22,13,5,1,5,1
13,7,1,3,A,29,61,13,21,8,23,79,31,14,5,3,8,0,17,46,10,15,1,13,45,22,14,4,1,8,0
14,5,6,0,B,27,61,18,23,5,25,77,31,13,5,4,8,0,25,45,14,16,6,12,70,23,11,4,1,6,1
15,8,3,0,A,26,61,23,24,8,24,83,30,15,5,3,8,0,25,47,10,14,3,13,63,21,13,4,1,6,1
16,8,2,1,A,28,61,19,21,9,23,84,32,14,6,3,8,1,21,47,14,15,3,13,59,21,12,3,1,6,1
17,7,4,0,A,32,62,18,22,12,26,94,30,13,5,3,8,0,22,48,15,16,2,15,61,22,14,3,1,7,1
18,7,3,1,A,30,59,20,24,11,24,91,32,15,6,4,7,1,23,47,13,15,5,14,64,21,16,4,1,6,1
19,6,5,0,A,28,62,18,24,9,25,83,30,14,6,3,8,0,23,45,12,14,5,13,63,21,13,4,1,7,1
20,9,1,1,A,28,63,22,24,7,25,85,31,15,5,3,6,1,23,49,10,13,2,13,58,21,12,4,1,6,0
21,9,1,1,A,29,64,17,21,8,26,83,32,16,6,3,7,1,21,48,7,15,3,13,52,21,13,5,1,5,1
