sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,5,6,0,B,252,500,87,107,88,216,679,207,115,45,39,68,2,258,527,101,121,72,189,689,243,136,48,19,72,8
1,4,6,1,B,236,509,81,112,89,218,642,207,120,42,37,70,3,239,515,96,116,73,188,647,247,137,42,22,78,7
2,5,6,0,B,234,492,91,114,86,212,645,210,123,46,39,75,2,249,524,104,119,70,183,672,252,132,43,19,74,8
3,5,6,0,B,227,489,84,112,80,211,618,209,119,39,38,73,0,235,533,89,113,61,188,620,245,137,46,18,78,6
4,4,7,0,B,224,496,95,118,76,214,619,209,118,44,37,70,1,248,529,92,114,67,189,655,241,135,46,19,77,7
5,5,5,1,TIE,247,496,92,120,87,212,673,204,117,41,38,75,0,246,531,90,116,70,189,652,249,136,46,17,75,8
6,7,4,0,A,230,498,95,121,85,216,640,207,124,43,35,70,2,232,511,99,123,49,179,612,246,138,42,20,79,7
7,5,6,0,B,234,478,90,118,86,210,644,200,121,45,35,77,0,247,513,88,116,75,182,657,249,131,44,18,75,7
8,7,4,0,A,232,500,89,120,77,215,630,204,127,45,37,72,0,214,531,91,113,60,186,579,237,138,43,21,81,6
9,7,4,0,A,235,501,93,116,81,215,644,207,116,44,38,72,0,239,513,94,122,68,184,640,247,136,46,19,79,7
10,3,8,0,B,217,481,87,118,68,208,589,212,122,45,36,75,2,238,525,92,116,65,186,633,249,134,42,18,74,6
11,5,6,0,B,230,499,100,123,78,217,638,206,122,46,32,74,1,253,527,89,115,72,188,667,251,138,44,23,79,7
12,6,5,0,A,221,484,95,116,78,213,615,208,124,42,35,72,1,229,520,98,116,61,184,617,246,138,39,22,79,8
13,6,5,0,A,244,491,101,115,78,211,667,203,122,47,36,76,1,263,537,93,118,69,190,688,242,136,44,17,73,7
14,4,7,0,B,235,483,85,113,84,208,639,206,113,46,40,75,1,264,522,99,118,66,185,693,246,132,44,20,74,7
15,5,5,1,TIE,245,503,89,114,86,216,665,209,123,45,36,77,1,248,518,98,114,68,186,662,250,141,47,20,77,8
16,5,5,1,TIE,218,486,97,121,79,214,612,208,120,43,36,73,3,247,512,93,120,63,182,650,249,132,43,16,77,7
17,7,4,0,A,233,496,85,115,81,213,632,210,126,47,37,72,0,227,513,104,118,68,187,626,252,133,46,21,83,6
18,7,4,0,A,240,477,99,117,83,208,662,212,112,45,39,69,1,252,531,86,116,63,189,653,237,133,46,23,78,7
19,2,8,1,B,231,483,89,118,79,210,630,211,121,44,39,74,0,258,528,97,122,71,187,684,250,132,45,17,74,7
20,3,7,1,B,212,498,87,113,74,218,585,207,118,44,38,74,2,250,521,84,115,77,187,661,241,132,44,21,80,7
